"Fecha";"Mercado";"Producto";"Precio"
"11-08-05";"Rosario";"Maiz";"U$S 79.56"
"12-08-05";"Rosario";"Maiz";"U$S 77"
"16-08-05";"Rosario";"Maiz";"U$S 75.62"
"17-08-05";"Rosario";"Maiz";"U$S 76.25"
"18-08-05";"Rosario";"Maiz";"U$S 76.22"
"19-08-05";"Rosario";"Maiz";"U$S 75.47"
"22-08-05";"Rosario";"Maiz";"U$S 75.4"
"23-08-05";"Rosario";"Maiz";"U$S 74.83"
"24-08-05";"Rosario";"Maiz";"U$S 74.23"
"25-08-05";"Rosario";"Maiz";"U$S 73.62"
"26-08-05";"Rosario";"Maiz";"U$S 73.53"
"29-08-05";"Rosario";"Maiz";"U$S 74.49"
"30-08-05";"Rosario";"Maiz";"U$S 74.52"
"31-08-05";"Rosario";"Maiz";"U$S 75.23"
"01-09-05";"Rosario";"Maiz";"U$S 77.18"
"02-09-05";"Rosario";"Maiz";"U$S 75.43"
"05-09-05";"Rosario";"Maiz";"U$S 74.3"
"06-09-05";"Rosario";"Maiz";"U$S 76.37"
"07-09-05";"Rosario";"Maiz";"U$S 75.04"
"08-09-05";"Rosario";"Maiz";"U$S 75.76"
"09-09-05";"Rosario";"Maiz";"U$S 77.67"
"12-09-05";"Rosario";"Maiz";"U$S 75.42"
"13-09-05";"Rosario";"Maiz";"U$S 75.23"
"14-09-05";"Rosario";"Maiz";"U$S 73.66"
"15-09-05";"Rosario";"Maiz";"U$S 72.2"
"16-09-05";"Rosario";"Maiz";"U$S 72.83"
"19-09-05";"Rosario";"Maiz";"U$S 72.83"
"20-09-05";"Rosario";"Maiz";"U$S 73.78"
"21-09-05";"Rosario";"Maiz";"U$S 73.03"
"22-09-05";"Rosario";"Maiz";"U$S 74.31"
"23-09-05";"Rosario";"Maiz";"U$S 73.88"
"26-09-05";"Rosario";"Maiz";"U$S 72.82"
"27-09-05";"Rosario";"Maiz";"U$S 72.16"
"28-09-05";"Rosario";"Maiz";"U$S 72.01"
"29-09-05";"Rosario";"Maiz";"U$S 71.36"
"30-09-05";"Rosario";"Maiz";"U$S 72.16"
"03-10-05";"Rosario";"Maiz";"U$S 73.56"
"04-10-05";"Rosario";"Maiz";"U$S 72.51"
"05-10-05";"Rosario";"Maiz";"U$S 73.55"
"07-10-05";"Rosario";"Maiz";"U$S 74.23"
"11-10-05";"Rosario";"Maiz";"U$S 74.41"
"12-10-05";"Rosario";"Maiz";"U$S 74.84"
"13-10-05";"Rosario";"Maiz";"U$S 74.4"
"14-10-05";"Rosario";"Maiz";"U$S 74.05"
"17-10-05";"Rosario";"Maiz";"U$S 74.13"
"18-10-05";"Rosario";"Maiz";"U$S 74.07"
"19-10-05";"Rosario";"Maiz";"U$S 73.86"
"20-10-05";"Rosario";"Maiz";"U$S 73.27"
"21-10-05";"Rosario";"Maiz";"U$S 72.54"
"24-10-05";"Rosario";"Maiz";"U$S 72.1"
"25-10-05";"Rosario";"Maiz";"U$S 71.25"
"26-10-05";"Rosario";"Maiz";"U$S 71.69"
"27-10-05";"Rosario";"Maiz";"U$S 72.2"
"28-10-05";"Rosario";"Maiz";"U$S 71.64"
"31-10-05";"Rosario";"Maiz";"U$S 71.55"
"01-11-05";"Rosario";"Maiz";"U$S 72.19"
"02-11-05";"Rosario";"Maiz";"U$S 72"
"03-11-05";"Rosario";"Maiz";"U$S 72.07"
"04-11-05";"Rosario";"Maiz";"U$S 71.83"
"07-11-05";"Rosario";"Maiz";"U$S 70.64"
"08-11-05";"Rosario";"Maiz";"U$S 70.17"
"09-11-05";"Rosario";"Maiz";"U$S 70.63"
"10-11-05";"Rosario";"Maiz";"U$S 70.03"
"11-11-05";"Rosario";"Maiz";"U$S 70.78"
"14-11-05";"Rosario";"Maiz";"U$S 71.84"
"15-11-05";"Rosario";"Maiz";"U$S 72.83"
"16-11-05";"Rosario";"Maiz";"U$S 71.19"
"17-11-05";"Rosario";"Maiz";"U$S 70.68"
"18-11-05";"Rosario";"Maiz";"U$S 70.34"
"21-11-05";"Rosario";"Maiz";"U$S 70.09"
"22-11-05";"Rosario";"Maiz";"U$S 70.22"
"23-11-05";"Rosario";"Maiz";"U$S 69.93"
"24-11-05";"Rosario";"Maiz";"U$S 69.69"
"25-11-05";"Rosario";"Maiz";"U$S 69"
"28-11-05";"Rosario";"Maiz";"U$S 68.73"
